Student Name,College / University Name,Degree,Specialization,Graduation Year,Location,Skills,Certifications,Internship Experience,LinkedIn Profile URL
Ananya Mehta,IIM Bangalore,MBA,Finance,2027,"Pune, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",Financial Modeling & Valuation Analyst (FMVA),HR Generalist Intern at HDFC Bank (2 Months),https://www.linkedin.com/in/ananya-mehta-527
Aarav Singh,SPJIMR Mumbai,MBA,Finance,2026,"Chennai, Tamil Nadu","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",CFA Level 1,Business Analyst Intern at KPMG (5 Months),https://www.linkedin.com/in/aarav-singh-684
Aarav Kapoor,Shaheed Sukhdev College of Business Studies,MBA,Human Resources,2027,"Hyderabad, Telangana","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",Google Project Management Certificate,Business Analyst Intern at Reliance Industries (3 Months),https://www.linkedin.com/in/aarav-kapoor-422
Tanvi Reddy,Delhi University,MBA,Human Resources,2024,"Bengaluru, Karnataka","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",Google Project Management Certificate,HR Generalist Intern at Tata Consultancy Services (3 Months),https://www.linkedin.com/in/tanvi-reddy-946
Siddharth Das,FMS Delhi,MBA,Operations & Supply Chain,2027,Delhi NCR,"Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",Google Project Management Certificate,HR Generalist Intern at Tata Consultancy Services (6 Months),https://www.linkedin.com/in/siddharth-das-911
Aarav Sen,IIM Bangalore,MBA,Business Analytics,2025,"Chennai, Tamil Nadu","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",None,Financial Analyst Intern at Amazon (4 Months),https://www.linkedin.com/in/aarav-sen-424
Diya Mehta,XLRI Jamshedpur,MBA,Human Resources,2026,"Hyderabad, Telangana","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,Financial Analyst Intern at Reliance Industries (5 Months),https://www.linkedin.com/in/diya-mehta-264
Arjun Das,Shaheed Sukhdev College of Business Studies,BBA,Finance,2025,"Mumbai, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",CFA Level 1,Operations Consultant Intern at Amazon (2 Months),https://www.linkedin.com/in/arjun-das-704
Arjun Reddy,Shaheed Sukhdev College of Business Studies,MBA,Finance,2027,"Bengaluru, Karnataka","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",None,Business Analyst Intern at Deloitte (2 Months),https://www.linkedin.com/in/arjun-reddy-843
Ananya Chawla,IIM Calcutta,BBA,General Management,2024,"Bengaluru, Karnataka","Business Strategy, Leadership, Financial Accounting, Operations Management",Project Management Professional (PMP) Basics,Operations Consultant Intern at EY (6 Months),https://www.linkedin.com/in/ananya-chawla-327
Amit Sharma,IIM Calcutta,BBA,Data Analytics,2025,Delhi NCR,"SQL, Excel, Tableau, Data Cleaning, Python",None,Business Analyst Intern at EY (6 Months),https://www.linkedin.com/in/amit-sharma-658
Rahul Nair,Delhi University,MBA,Management Consulting,2024,"Mumbai, Maharashtra","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",Google Project Management Certificate,Financial Analyst Intern at HDFC Bank (3 Months),https://www.linkedin.com/in/rahul-nair-988
Siddharth Das,IIM Calcutta,MBA,Finance,2026,"Chennai, Tamil Nadu","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",NCFM Certification,None,https://www.linkedin.com/in/siddharth-das-809
Kriti Mehta,IIM Calcutta,MBA,Business Analytics,2025,"Bengaluru, Karnataka","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Microsoft Certified: Power BI Data Analyst,Marketing Intern at KPMG (5 Months),https://www.linkedin.com/in/kriti-mehta-750
Isha Verma,FMS Delhi,BBA,Digital Marketing,2024,"Pune, Maharashtra","Social Media Marketing, Google Ads, Content Strategy, Copywriting",Google Project Management Certificate,Operations Consultant Intern at KPMG (6 Months),https://www.linkedin.com/in/isha-verma-155
Aarav Kapoor,IIM Bangalore,MBA,Human Resources,2026,"Bengaluru, Karnataka","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",Google Project Management Certificate,Business Analyst Intern at Amazon (5 Months),https://www.linkedin.com/in/aarav-kapoor-211
Ananya Kapoor,IIM Calcutta,BBA,Finance,2024,Delhi NCR,"Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",CFA Level 1,Financial Analyst Intern at ICICI Bank (4 Months),https://www.linkedin.com/in/ananya-kapoor-350
Sneha Sen,SPJIMR Mumbai,MBA,Finance,2027,"Mumbai, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",CFA Level 1,Business Analyst Intern at PwC (4 Months),https://www.linkedin.com/in/sneha-sen-225
Vikram Verma,IIM Ahmedabad,BBA,Data Analytics,2024,"Hyderabad, Telangana","SQL, Excel, Tableau, Data Cleaning, Python",Google Data Analytics Professional,Operations Consultant Intern at Reliance Industries (6 Months),https://www.linkedin.com/in/vikram-verma-327
Siddharth Sharma,Christ University,BBA,Digital Marketing,2027,Delhi NCR,"Social Media Marketing, Google Ads, Content Strategy, Copywriting",None,None,https://www.linkedin.com/in/siddharth-sharma-563
Pooja Gupta,IIM Bangalore,MBA,Business Analytics,2024,"Pune, Maharashtra","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Microsoft Certified: Power BI Data Analyst,HR Generalist Intern at EY (6 Months),https://www.linkedin.com/in/pooja-gupta-901
Vikram Das,Shaheed Sukhdev College of Business Studies,MBA,Management Consulting,2027,Delhi NCR,"Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,Operations Consultant Intern at Deloitte (5 Months),https://www.linkedin.com/in/vikram-das-434
Rohan Singh,IIM Ahmedabad,BBA,Data Analytics,2025,"Pune, Maharashtra","SQL, Excel, Tableau, Data Cleaning, Python",Google Data Analytics Professional,None,https://www.linkedin.com/in/rohan-singh-718
Rahul Reddy,Shaheed Sukhdev College of Business Studies,MBA,Marketing,2027,"Bengaluru, Karnataka","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Google Digital Marketing Certified,None,https://www.linkedin.com/in/rahul-reddy-967
Meera Mishra,SPJIMR Mumbai,BBA,General Management,2027,Delhi NCR,"Business Strategy, Leadership, Financial Accounting, Operations Management",Certified ScrumMaster (CSM),Business Analyst Intern at KPMG (5 Months),https://www.linkedin.com/in/meera-mishra-995
Pooja Verma,FMS Delhi,BBA,General Management,2027,Delhi NCR,"Business Strategy, Leadership, Financial Accounting, Operations Management",Certified ScrumMaster (CSM),Operations Consultant Intern at EY (5 Months),https://www.linkedin.com/in/pooja-verma-138
Ananya Verma,Delhi University,BBA,General Management,2025,"Pune, Maharashtra","Business Strategy, Leadership, Financial Accounting, Operations Management",Certified ScrumMaster (CSM),None,https://www.linkedin.com/in/ananya-verma-210
Amit Nair,IIM Bangalore,MBA,Operations & Supply Chain,2026,"Mumbai, Maharashtra","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Financial Analyst Intern at KPMG (6 Months),https://www.linkedin.com/in/amit-nair-683
Siddharth Verma,SPJIMR Mumbai,BBA,Marketing,2027,"Chennai, Tamil Nadu","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",None,Marketing Intern at Tata Consultancy Services (4 Months),https://www.linkedin.com/in/siddharth-verma-796
Vikram Das,FMS Delhi,MBA,Operations & Supply Chain,2026,Delhi NCR,"Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",Google Project Management Certificate,Business Analyst Intern at KPMG (2 Months),https://www.linkedin.com/in/vikram-das-875
Isha Patel,XLRI Jamshedpur,BBA,Finance,2027,"Bengaluru, Karnataka","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",CFA Level 1,None,https://www.linkedin.com/in/isha-patel-384
Aarav Verma,IIM Ahmedabad,MBA,Human Resources,2026,"Hyderabad, Telangana","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",Google Project Management Certificate,Marketing Intern at Flipkart (5 Months),https://www.linkedin.com/in/aarav-verma-239
Tanvi Patel,IIM Bangalore,BBA,Data Analytics,2027,"Mumbai, Maharashtra","SQL, Excel, Tableau, Data Cleaning, Python",IBM Data Science Professional Certificate,Financial Analyst Intern at EY (4 Months),https://www.linkedin.com/in/tanvi-patel-155
Vikram Das,IIM Calcutta,MBA,Operations & Supply Chain,2026,Delhi NCR,"Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,None,https://www.linkedin.com/in/vikram-das-773
Ananya Verma,IIM Bangalore,MBA,Operations & Supply Chain,2025,"Hyderabad, Telangana","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",Google Project Management Certificate,HR Generalist Intern at Deloitte (2 Months),https://www.linkedin.com/in/ananya-verma-120
Aditya Verma,NMIMS Mumbai,MBA,Business Analytics,2025,"Pune, Maharashtra","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Google Data Analytics Professional,Financial Analyst Intern at HDFC Bank (5 Months),https://www.linkedin.com/in/aditya-verma-697
Ananya Gupta,IIM Bangalore,MBA,Finance,2027,Delhi NCR,"Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",Financial Modeling & Valuation Analyst (FMVA),HR Generalist Intern at ICICI Bank (5 Months),https://www.linkedin.com/in/ananya-gupta-378
Ananya Sharma,FMS Delhi,MBA,Business Analytics,2024,"Hyderabad, Telangana","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",SQL Advanced Certificate,Business Analyst Intern at Reliance Industries (5 Months),https://www.linkedin.com/in/ananya-sharma-662
Pooja Sen,Shaheed Sukhdev College of Business Studies,MBA,Marketing,2026,"Chennai, Tamil Nadu","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Product Management Certificate,Operations Consultant Intern at Amazon (6 Months),https://www.linkedin.com/in/pooja-sen-152
Pooja Verma,IIM Ahmedabad,MBA,Management Consulting,2025,"Pune, Maharashtra","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,HR Generalist Intern at Tata Consultancy Services (2 Months),https://www.linkedin.com/in/pooja-verma-362
Pooja Das,Delhi University,MBA,Management Consulting,2027,Delhi NCR,"Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,HR Generalist Intern at ICICI Bank (5 Months),https://www.linkedin.com/in/pooja-das-782
Vikram Joshi,Shaheed Sukhdev College of Business Studies,MBA,Business Analytics,2026,"Mumbai, Maharashtra","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Microsoft Certified: Power BI Data Analyst,Marketing Intern at Flipkart (2 Months),https://www.linkedin.com/in/vikram-joshi-161
Riya Singh,IIM Ahmedabad,BBA,General Management,2027,"Chennai, Tamil Nadu","Business Strategy, Leadership, Financial Accounting, Operations Management",Project Management Professional (PMP) Basics,Financial Analyst Intern at KPMG (6 Months),https://www.linkedin.com/in/riya-singh-740
Tanvi Joshi,Christ University,MBA,Finance,2027,"Bengaluru, Karnataka","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",Financial Modeling & Valuation Analyst (FMVA),None,https://www.linkedin.com/in/tanvi-joshi-354
Meera Reddy,IIM Ahmedabad,MBA,Management Consulting,2025,Delhi NCR,"Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,Business Analyst Intern at Deloitte (2 Months),https://www.linkedin.com/in/meera-reddy-217
Riya Patel,Delhi University,BBA,Digital Marketing,2026,"Chennai, Tamil Nadu","Social Media Marketing, Google Ads, Content Strategy, Copywriting",Google Project Management Certificate,Financial Analyst Intern at Flipkart (2 Months),https://www.linkedin.com/in/riya-patel-924
Amit Reddy,Symbiosis International University,BBA,Finance,2024,"Chennai, Tamil Nadu","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",NCFM Certification,HR Generalist Intern at Deloitte (6 Months),https://www.linkedin.com/in/amit-reddy-331
Arjun Chawla,IIM Bangalore,BBA,Digital Marketing,2024,"Pune, Maharashtra","Social Media Marketing, Google Ads, Content Strategy, Copywriting",None,HR Generalist Intern at Deloitte (6 Months),https://www.linkedin.com/in/arjun-chawla-487
Aditya Mishra,IIM Ahmedabad,MBA,Marketing,2024,"Pune, Maharashtra","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Product Management Certificate,Business Analyst Intern at Deloitte (6 Months),https://www.linkedin.com/in/aditya-mishra-689
Pooja Patel,FMS Delhi,MBA,Finance,2024,"Mumbai, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",None,None,https://www.linkedin.com/in/pooja-patel-442
Amit Joshi,NMIMS Mumbai,BBA,Finance,2026,"Hyderabad, Telangana","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",CFA Level 1,Marketing Intern at EY (2 Months),https://www.linkedin.com/in/amit-joshi-458
Ananya Gupta,IIM Bangalore,MBA,Human Resources,2027,"Mumbai, Maharashtra","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,HR Generalist Intern at EY (5 Months),https://www.linkedin.com/in/ananya-gupta-112
Vikram Das,Shaheed Sukhdev College of Business Studies,MBA,Business Analytics,2027,"Pune, Maharashtra","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Google Data Analytics Professional,HR Generalist Intern at Amazon (6 Months),https://www.linkedin.com/in/vikram-das-178
Gaurav Reddy,FMS Delhi,BBA,General Management,2024,"Bengaluru, Karnataka","Business Strategy, Leadership, Financial Accounting, Operations Management",Project Management Professional (PMP) Basics,Operations Consultant Intern at Tata Consultancy Services (6 Months),https://www.linkedin.com/in/gaurav-reddy-895
Amit Reddy,XLRI Jamshedpur,BBA,Finance,2026,"Bengaluru, Karnataka","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",None,None,https://www.linkedin.com/in/amit-reddy-577
Aarav Singh,Shaheed Sukhdev College of Business Studies,MBA,Human Resources,2027,"Bengaluru, Karnataka","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,None,https://www.linkedin.com/in/aarav-singh-144
Siddharth Reddy,IIM Ahmedabad,MBA,Management Consulting,2025,"Mumbai, Maharashtra","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",Google Project Management Certificate,Marketing Intern at Flipkart (4 Months),https://www.linkedin.com/in/siddharth-reddy-883
Sneha Verma,IIM Bangalore,MBA,Operations & Supply Chain,2024,"Hyderabad, Telangana","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",Google Project Management Certificate,Operations Consultant Intern at ICICI Bank (3 Months),https://www.linkedin.com/in/sneha-verma-632
Diya Mishra,SPJIMR Mumbai,MBA,Management Consulting,2026,"Mumbai, Maharashtra","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",Google Project Management Certificate,Operations Consultant Intern at EY (5 Months),https://www.linkedin.com/in/diya-mishra-259
Meera Reddy,FMS Delhi,BBA,Marketing,2027,Delhi NCR,"Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Google Digital Marketing Certified,Marketing Intern at Reliance Industries (6 Months),https://www.linkedin.com/in/meera-reddy-111
Meera Gupta,IIM Bangalore,MBA,Operations & Supply Chain,2024,"Chennai, Tamil Nadu","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Business Analyst Intern at Tata Consultancy Services (6 Months),https://www.linkedin.com/in/meera-gupta-647
Sneha Kapoor,Delhi University,MBA,Business Analytics,2026,"Mumbai, Maharashtra","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",SQL Advanced Certificate,Marketing Intern at ICICI Bank (4 Months),https://www.linkedin.com/in/sneha-kapoor-933
Gaurav Joshi,IIM Ahmedabad,BBA,General Management,2026,"Hyderabad, Telangana","Business Strategy, Leadership, Financial Accounting, Operations Management",None,Marketing Intern at Tata Consultancy Services (4 Months),https://www.linkedin.com/in/gaurav-joshi-527
Arjun Chawla,IIM Calcutta,MBA,Business Analytics,2027,"Hyderabad, Telangana","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Microsoft Certified: Power BI Data Analyst,Financial Analyst Intern at PwC (3 Months),https://www.linkedin.com/in/arjun-chawla-833
Kriti Mehta,SPJIMR Mumbai,MBA,Marketing,2024,"Bengaluru, Karnataka","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",None,HR Generalist Intern at KPMG (4 Months),https://www.linkedin.com/in/kriti-mehta-241
Sneha Mishra,IIM Calcutta,MBA,Marketing,2024,"Pune, Maharashtra","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Product Management Certificate,HR Generalist Intern at Flipkart (4 Months),https://www.linkedin.com/in/sneha-mishra-548
Amit Kapoor,Christ University,BBA,Marketing,2025,"Mumbai, Maharashtra","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",None,Financial Analyst Intern at Deloitte (2 Months),https://www.linkedin.com/in/amit-kapoor-401
Rohan Verma,NMIMS Mumbai,MBA,Management Consulting,2026,"Bengaluru, Karnataka","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,Financial Analyst Intern at PwC (2 Months),https://www.linkedin.com/in/rohan-verma-377
Gaurav Mishra,IIM Ahmedabad,MBA,Business Analytics,2027,"Pune, Maharashtra","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",SQL Advanced Certificate,HR Generalist Intern at KPMG (2 Months),https://www.linkedin.com/in/gaurav-mishra-948
Pooja Mehta,IIM Bangalore,MBA,Finance,2024,"Chennai, Tamil Nadu","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",Financial Modeling & Valuation Analyst (FMVA),None,https://www.linkedin.com/in/pooja-mehta-559
Rahul Nair,Shaheed Sukhdev College of Business Studies,BBA,Digital Marketing,2027,"Mumbai, Maharashtra","Social Media Marketing, Google Ads, Content Strategy, Copywriting",Google Project Management Certificate,Business Analyst Intern at Deloitte (5 Months),https://www.linkedin.com/in/rahul-nair-631
Kriti Joshi,NMIMS Mumbai,MBA,Operations & Supply Chain,2026,"Bengaluru, Karnataka","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",Google Project Management Certificate,Business Analyst Intern at Flipkart (6 Months),https://www.linkedin.com/in/kriti-joshi-917
Tanvi Mishra,FMS Delhi,MBA,Marketing,2024,"Mumbai, Maharashtra","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Product Management Certificate,Financial Analyst Intern at PwC (4 Months),https://www.linkedin.com/in/tanvi-mishra-970
Kriti Gupta,IIM Calcutta,MBA,Management Consulting,2026,"Mumbai, Maharashtra","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",Google Project Management Certificate,HR Generalist Intern at ICICI Bank (2 Months),https://www.linkedin.com/in/kriti-gupta-727
Rahul Joshi,XLRI Jamshedpur,MBA,Human Resources,2027,"Chennai, Tamil Nadu","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",Google Project Management Certificate,Operations Consultant Intern at ICICI Bank (2 Months),https://www.linkedin.com/in/rahul-joshi-819
Ananya Gupta,IIM Bangalore,BBA,Digital Marketing,2027,"Bengaluru, Karnataka","Social Media Marketing, Google Ads, Content Strategy, Copywriting",None,HR Generalist Intern at Tata Consultancy Services (6 Months),https://www.linkedin.com/in/ananya-gupta-171
Ananya Mishra,IIM Ahmedabad,MBA,Human Resources,2025,"Hyderabad, Telangana","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",Google Project Management Certificate,Financial Analyst Intern at KPMG (3 Months),https://www.linkedin.com/in/ananya-mishra-538
Aarav Mehta,IIM Ahmedabad,MBA,Human Resources,2027,"Bengaluru, Karnataka","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",Google Project Management Certificate,Marketing Intern at Flipkart (2 Months),https://www.linkedin.com/in/aarav-mehta-734
Kriti Sen,Delhi University,BBA,Data Analytics,2025,"Mumbai, Maharashtra","SQL, Excel, Tableau, Data Cleaning, Python",Google Data Analytics Professional,HR Generalist Intern at EY (4 Months),https://www.linkedin.com/in/kriti-sen-537
Rohan Sen,FMS Delhi,MBA,Human Resources,2025,Delhi NCR,"Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",Google Project Management Certificate,Marketing Intern at EY (3 Months),https://www.linkedin.com/in/rohan-sen-431
Diya Mishra,IIM Calcutta,BBA,Finance,2027,Delhi NCR,"Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",NCFM Certification,Business Analyst Intern at PwC (5 Months),https://www.linkedin.com/in/diya-mishra-434
Rahul Chawla,Christ University,MBA,Finance,2026,"Hyderabad, Telangana","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",Financial Modeling & Valuation Analyst (FMVA),Operations Consultant Intern at Deloitte (3 Months),https://www.linkedin.com/in/rahul-chawla-170
Kriti Das,SPJIMR Mumbai,MBA,Business Analytics,2024,"Chennai, Tamil Nadu","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",None,Business Analyst Intern at Reliance Industries (6 Months),https://www.linkedin.com/in/kriti-das-229
Arjun Gupta,IIM Calcutta,MBA,Marketing,2024,"Bengaluru, Karnataka","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",None,Marketing Intern at Flipkart (4 Months),https://www.linkedin.com/in/arjun-gupta-585
Vikram Sen,NMIMS Mumbai,MBA,Management Consulting,2026,"Chennai, Tamil Nadu","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",Google Project Management Certificate,Marketing Intern at Tata Consultancy Services (6 Months),https://www.linkedin.com/in/vikram-sen-724
Amit Kapoor,SPJIMR Mumbai,BBA,Data Analytics,2024,"Pune, Maharashtra","SQL, Excel, Tableau, Data Cleaning, Python",IBM Data Science Professional Certificate,Business Analyst Intern at Deloitte (5 Months),https://www.linkedin.com/in/amit-kapoor-471
Arjun Verma,IIM Calcutta,MBA,Finance,2025,Delhi NCR,"Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",CFA Level 1,Business Analyst Intern at Deloitte (6 Months),https://www.linkedin.com/in/arjun-verma-847
Pooja Mehta,Delhi University,MBA,Finance,2025,"Pune, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",Financial Modeling & Valuation Analyst (FMVA),Business Analyst Intern at EY (5 Months),https://www.linkedin.com/in/pooja-mehta-401
Amit Joshi,IIM Calcutta,MBA,Operations & Supply Chain,2027,Delhi NCR,"Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",Google Project Management Certificate,Operations Consultant Intern at Reliance Industries (6 Months),https://www.linkedin.com/in/amit-joshi-907
Meera Chawla,IIM Ahmedabad,MBA,Business Analytics,2025,"Pune, Maharashtra","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",SQL Advanced Certificate,Business Analyst Intern at PwC (5 Months),https://www.linkedin.com/in/meera-chawla-148
Gaurav Mishra,Delhi University,MBA,Management Consulting,2024,"Pune, Maharashtra","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,Business Analyst Intern at PwC (5 Months),https://www.linkedin.com/in/gaurav-mishra-979
Aditya Chawla,IIM Ahmedabad,BBA,Finance,2024,Delhi NCR,"Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",None,None,https://www.linkedin.com/in/aditya-chawla-246
Kriti Mehta,Christ University,MBA,Human Resources,2026,Delhi NCR,"Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,None,https://www.linkedin.com/in/kriti-mehta-497
Arjun Sharma,Shaheed Sukhdev College of Business Studies,BBA,Finance,2026,"Pune, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",CFA Level 1,HR Generalist Intern at PwC (2 Months),https://www.linkedin.com/in/arjun-sharma-435
Amit Patel,Christ University,MBA,Marketing,2024,"Hyderabad, Telangana","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",None,Operations Consultant Intern at KPMG (3 Months),https://www.linkedin.com/in/amit-patel-128
Isha Mehta,Symbiosis International University,BBA,Data Analytics,2024,"Bengaluru, Karnataka","SQL, Excel, Tableau, Data Cleaning, Python",None,Business Analyst Intern at KPMG (2 Months),https://www.linkedin.com/in/isha-mehta-160
Tanvi Das,FMS Delhi,MBA,Operations & Supply Chain,2027,Delhi NCR,"Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Operations Consultant Intern at PwC (3 Months),https://www.linkedin.com/in/tanvi-das-380
Rohan Verma,FMS Delhi,BBA,Marketing,2024,"Hyderabad, Telangana","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",HubSpot Inbound Marketing,HR Generalist Intern at Reliance Industries (4 Months),https://www.linkedin.com/in/rohan-verma-248
Ananya Singh,XLRI Jamshedpur,MBA,Operations & Supply Chain,2024,"Mumbai, Maharashtra","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Business Analyst Intern at Tata Consultancy Services (6 Months),https://www.linkedin.com/in/ananya-singh-773
Rahul Reddy,Delhi University,MBA,Management Consulting,2026,"Mumbai, Maharashtra","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,Business Analyst Intern at PwC (5 Months),https://www.linkedin.com/in/rahul-reddy-944
Amit Mehta,Christ University,MBA,Marketing,2024,"Pune, Maharashtra","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Google Digital Marketing Certified,Business Analyst Intern at Flipkart (5 Months),https://www.linkedin.com/in/amit-mehta-952
Gaurav Gupta,IIM Ahmedabad,MBA,Finance,2024,Delhi NCR,"Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",Financial Modeling & Valuation Analyst (FMVA),Marketing Intern at Reliance Industries (4 Months),https://www.linkedin.com/in/gaurav-gupta-809
Pooja Nair,SPJIMR Mumbai,BBA,Finance,2025,"Hyderabad, Telangana","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",CFA Level 1,None,https://www.linkedin.com/in/pooja-nair-288
Rohan Das,Christ University,BBA,Marketing,2025,"Chennai, Tamil Nadu","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",HubSpot Inbound Marketing,Marketing Intern at HDFC Bank (6 Months),https://www.linkedin.com/in/rohan-das-783
Tanvi Singh,Delhi University,MBA,Marketing,2027,"Chennai, Tamil Nadu","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Product Management Certificate,Financial Analyst Intern at Tata Consultancy Services (5 Months),https://www.linkedin.com/in/tanvi-singh-333
Ananya Reddy,FMS Delhi,MBA,Human Resources,2025,"Hyderabad, Telangana","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,HR Generalist Intern at Deloitte (6 Months),https://www.linkedin.com/in/ananya-reddy-473
Rahul Mehta,Delhi University,MBA,Operations & Supply Chain,2026,"Bengaluru, Karnataka","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,HR Generalist Intern at Flipkart (5 Months),https://www.linkedin.com/in/rahul-mehta-588
Sneha Joshi,SPJIMR Mumbai,MBA,Operations & Supply Chain,2026,"Pune, Maharashtra","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Operations Consultant Intern at Deloitte (3 Months),https://www.linkedin.com/in/sneha-joshi-177
Siddharth Mehta,SPJIMR Mumbai,MBA,Business Analytics,2026,"Hyderabad, Telangana","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Microsoft Certified: Power BI Data Analyst,Financial Analyst Intern at Amazon (6 Months),https://www.linkedin.com/in/siddharth-mehta-148
